Date,Open,High,Low,Close,Total Trade Quantity
1571155740,0.0220427,0.02204271,0.0220427,0.02204271,5.50612294
1571155800,0.02203786,0.02203786,0.02203786,0.02203786,0.13612937
1571155860,0.02203786,0.02203786,0.02203786,0.02203786,0.13612937
1571155920,0.02203786,0.02205099,0.02203786,0.02205099,9.92
1571155980,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156040,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156100,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156160,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156220,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156280,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156340,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156400,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156460,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156520,0.02204286,0.02204286,0.02204286,0.02204286,0.55850734
1571156580,0.0220457,0.02204571,0.0220457,0.02204571,13.98147063
1571156640,0.02204571,0.02204571,0.02204571,0.02204571,6.940541
1571156700,0.02204571,0.02204571,0.02204571,0.02204571,6.940541
1571156760,0.02206859,0.02206859,0.02205761,0.02205761,1.85034214
1571156820,0.02206859,0.02206859,0.02205761,0.02205761,1.85034214
1571156880,0.02207065,0.02207065,0.02207065,0.02207065,1.0
1571156940,0.02207412,0.02207412,0.02207412,0.02207412,1.021619
1571157000,0.02207412,0.02207412,0.02207412,0.02207412,1.021619
1571157060,0.02207412,0.02207412,0.02207412,0.02207412,1.021619
1571157120,0.02207899,0.02207899,0.02207899,0.02207899,0.08686945
1571157180,0.02207899,0.02207899,0.02207899,0.02207899,2.0
1571157240,0.022079,0.022084,0.02207412,0.02207412,4.03848812
1571157300,0.022079,0.022084,0.02207412,0.02207412,4.03848812
1571157360,0.022079,0.022084,0.02207412,0.02207412,4.03848812
1571157420,0.022079,0.022084,0.02207412,0.02207412,4.03848812
1571157480,0.022079,0.022084,0.02207412,0.02207412,4.03848812
1571157540,0.02207412,0.02207412,0.02206881,0.02206881,0.84130689
1571157600,0.02207412,0.02207412,0.02206881,0.02206881,0.84130689
1571157660,0.02204395,0.02204554,0.02204395,0.02204554,4.23
1571157720,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571157780,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571157840,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571157900,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571157960,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571158020,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571158080,0.02205275,0.02205275,0.02205275,0.02205275,1.11860189
1571158140,0.02205962,0.02205962,0.02205962,0.02205962,7.35887266
1571158200,0.02205963,0.02205963,0.02205962,0.02205962,17.37068751
1571158260,0.02206388,0.02206388,0.02206388,0.02206388,0.6798441
1571158320,0.02206388,0.02206388,0.02206388,0.02206388,0.6798441
1571158380,0.02206388,0.02206388,0.02206388,0.02206388,0.6798441
1571158440,0.02205962,0.02205962,0.02205962,0.02205962,0.00294783
1571158500,0.02205962,0.02205962,0.02205962,0.02205962,0.00294783
1571158560,0.02205464,0.02205464,0.02205464,0.02205464,24.81114019
1571158620,0.02205464,0.02205464,0.02205464,0.02205464,24.81114019
1571158680,0.02205464,0.02205464,0.02205464,0.02205464,24.81114019
1571158740,0.02203786,0.02203786,0.02203786,0.02203786,5.39428053
1571158800,0.02203785,0.02203785,0.02203785,0.02203785,2.17080512
1571158860,0.02203785,0.02203785,0.02203785,0.02203785,2.82919488
1571158920,0.02203785,0.02203785,0.02203785,0.02203785,2.82919488
1571158980,0.02203785,0.02203785,0.02203785,0.02203785,8.40221677
1571159040,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159100,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159160,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159220,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159280,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159340,0.02203784,0.02203784,0.02203784,0.02203784,0.0247
1571159400,0.02203785,0.02203785,0.02203785,0.02203785,0.03037546
1571159460,0.02203785,0.02203785,0.02203785,0.02203785,7.98867218
1571159520,0.02203785,0.02203785,0.02203785,0.02203785,7.98867218
1571159580,0.02203784,0.02203784,0.02203784,0.02203784,0.00050664
1571159640,0.02201628,0.02201628,0.02201628,0.02201628,0.0832075
1571159700,0.02201791,0.02201791,0.02201791,0.02201791,0.32
1571159760,0.02201791,0.02201791,0.02201791,0.02201791,0.32
1571159820,0.02203367,0.02203367,0.02203367,0.02203367,0.0832075
1571159880,0.02201792,0.02201792,0.02201792,0.02201792,0.25
1571159940,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160000,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160060,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160120,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160180,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160240,0.02201792,0.02201792,0.02201792,0.02201792,0.28054782
1571160300,0.02200425,0.02200425,0.02200425,0.02200425,2.16029174
1571160360,0.02200271,0.02200271,0.02200271,0.02200271,0.04841685
1571160420,0.02200974,0.02200974,0.02200974,0.02200974,0.04925097
1571160480,0.02200974,0.02200974,0.02200974,0.02200974,0.04925097
1571160540,0.02200974,0.02200974,0.02200974,0.02200974,0.04925097
1571160600,0.02200694,0.02200694,0.02200694,0.02200694,5.0
1571160660,0.02200694,0.02200694,0.02200694,0.02200694,5.0
1571160720,0.02201792,0.02202504,0.02201792,0.02202504,2.60574417
1571160780,0.02201901,0.02201901,0.02201901,0.02201901,3.16020006
1571160840,0.02201901,0.02201901,0.02201901,0.02201901,3.16020006
1571160900,0.02201901,0.02201901,0.02201901,0.02201901,3.16020006
1571160960,0.02201901,0.02201901,0.02201901,0.02201901,3.16020006
1571161020,0.02200403,0.02200403,0.02200403,0.02200403,6.34414011
1571161080,0.02200846,0.02200846,0.02200399,0.022004,0.12350891
1571161140,0.0219981,0.0219981,0.02199781,0.02199781,1.55239056
1571161200,0.02199803,0.02199803,0.02199803,0.02199803,0.15884569
1571161260,0.02199803,0.02199803,0.02199803,0.02199803,0.15884569
1571161320,0.0219981,0.0219981,0.0219981,0.0219981,0.476983
1571161380,0.0219981,0.0219981,0.0219981,0.0219981,0.476983
1571161440,0.02199805,0.0219981,0.02199805,0.02199809,8.95557406
1571161500,0.02199805,0.0219981,0.02199805,0.02199809,8.95557406
1571161560,0.02199805,0.0219981,0.02199805,0.02199809,8.95557406
1571161620,0.02199805,0.0219981,0.02199805,0.02199809,8.95557406
1571161680,0.02199805,0.0219981,0.02199805,0.02199809,8.95557406
1571161740,0.0219981,0.0219981,0.0219981,0.0219981,1.6864525
1571161800,0.0219981,0.0219981,0.0219981,0.0219981,1.6864525
1571161860,0.02199808,0.02199808,0.02199808,0.02199808,3.56815981
1571161920,0.02199808,0.02199808,0.02199808,0.02199808,3.56815981
1571161980,0.02199808,0.02199808,0.02199808,0.02199808,12.57410249
1571162040,0.02199808,0.02199808,0.02199808,0.02199808,12.57410249
1571162100,0.0219919,0.0219919,0.0219919,0.0219919,0.07695292
1571162160,0.0219919,0.0219919,0.0219919,0.0219919,0.07695292
1571162220,0.0219581,0.0219581,0.0219581,0.0219581,0.25
1571162280,0.021945,0.021945,0.021945,0.021945,0.068561
1571162340,0.02194207,0.02194207,0.02193549,0.02193549,1.18672365
1571162400,0.02193548,0.02193548,0.02190527,0.02190527,0.13305201
1571162460,0.0219,0.02190207,0.02186535,0.02186535,31.03165308
1571162520,0.02186859,0.02189925,0.02186859,0.02189435,3.14323168
1571162580,0.02186859,0.02189925,0.02186859,0.02189435,3.14323168
1571162640,0.02186859,0.02189925,0.02186859,0.02189435,3.14323168
1571162700,0.02186859,0.02189925,0.02186859,0.02189435,3.14323168
1571162760,0.02189918,0.02189918,0.02189435,0.02189435,1.23920081
1571162820,0.02189918,0.02189918,0.02189435,0.02189435,1.23920081
1571162880,0.02189435,0.02189435,0.02189435,0.02189435,0.92270518
1571162940,0.02189435,0.02189435,0.02189435,0.02189435,0.92270518
1571163000,0.02191069,0.02191069,0.02191068,0.02191068,10.68281473
1571163060,0.02192569,0.02192569,0.02192569,0.02192569,0.02657565
1571163120,0.02192569,0.02192569,0.02192569,0.02192569,0.02657565
1571163180,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163240,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163300,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163360,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163420,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163480,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163540,0.02192279,0.02192279,0.02192279,0.02192279,1.39535451
1571163600,0.02192543,0.02192543,0.02192543,0.02192543,0.0560773
1571163660,0.02192543,0.02192543,0.02192543,0.02192543,0.0560773
1571163720,0.02192543,0.02192543,0.02192543,0.02192543,0.0560773
1571163780,0.02195064,0.02195064,0.02195064,0.02195064,0.23982354
1571163840,0.02195064,0.02195064,0.02195064,0.02195064,0.23982354
1571163900,0.02194212,0.02194212,0.02194212,0.02194212,0.21222436
1571163960,0.02195063,0.02195063,0.02195063,0.02195063,25.69501191
1571164020,0.0219485,0.0219485,0.02194849,0.02194849,12.15456201
1571164080,0.02194849,0.02194849,0.02194849,0.02194849,12.53309473
1571164140,0.02193588,0.02193588,0.02193588,0.02193588,5.4172
1571164200,0.02193588,0.02193588,0.02193588,0.02193588,5.4172
1571164260,0.02193588,0.02193588,0.02193588,0.02193588,5.4172
1571164320,0.02193588,0.02193588,0.02193588,0.02193588,5.4172
1571164380,0.02192454,0.02192454,0.02192454,0.02192454,0.07756077
1571164440,0.02191884,0.02191884,0.02191884,0.02191884,0.05118847
1571164500,0.02191884,0.02191884,0.02191884,0.02191884,0.05118847
1571164560,0.02191884,0.02191884,0.02191884,0.02191884,0.05118847
1571164620,0.02191884,0.02191884,0.02191884,0.02191884,0.05118847
1571164680,0.02191884,0.02191884,0.02191884,0.02191884,0.05118847
1571164740,0.02194251,0.02194251,0.0219425,0.0219425,0.245
1571164800,0.02195062,0.02195062,0.02195062,0.02195062,0.2423
1571164860,0.02195062,0.02195062,0.02195062,0.02195062,0.2423
1571164920,0.0219152,0.0219152,0.0219152,0.0219152,0.0637105
1571164980,0.0219152,0.0219152,0.0219152,0.0219152,0.0637105
1571165040,0.02192129,0.02192129,0.02190933,0.02190933,2.0
1571165100,0.02190934,0.02190934,0.02190933,0.02190934,2.99999998
1571165160,0.0219135,0.02192155,0.02190739,0.02190739,3.0
1571165220,0.02190108,0.02190108,0.02189436,0.02189436,2.0
1571165280,0.02189436,0.02190714,0.02189436,0.02190714,8.99999999
1571165340,0.02190819,0.0219082,0.02190722,0.02190722,2.0
1571165400,0.0219103,0.0219103,0.0219103,0.0219103,0.36020003
1571165460,0.02190614,0.02190614,0.02190614,0.02190614,0.09913606
1571165520,0.02190614,0.02190614,0.02190614,0.02190614,0.09913606
1571165580,0.02190562,0.02190562,0.02190562,0.02190562,3.03730267
1571165640,0.02190562,0.02190562,0.02190562,0.02190562,0.02637021
1571165700,0.02190563,0.0219071,0.02190563,0.0219071,2.25546874
1571165760,0.02190563,0.0219071,0.02190563,0.0219071,2.25546874
1571165820,0.02192769,0.0219334,0.02192008,0.0219276,0.70468179
1571165880,0.02193415,0.02193415,0.02193191,0.02193191,0.13967
1571165940,0.02193415,0.02193415,0.02193191,0.02193191,0.13967
1571166000,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166060,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166120,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166180,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166240,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166300,0.02193502,0.02193502,0.02193502,0.02193502,0.26153
1571166360,0.02195063,0.02195063,0.02195063,0.02195063,0.167651
